,year,state,sl55,sl65,sl70,sl75,slnone,seatbelt,minage,zerotol,gdl,bac10,bac08,perse,totfat,nghtfat,wkndfat,totfatpvm,nghtfatpvm,wkndfatpvm,statepop,totfatrte,nghtfatrte,wkndfatrte,vehicmiles,unem,perc14_24,sl70plus,sbprim,sbsecon,d80,d81,d82,d83,d84,d85,d86,d87,d88,d89,d90,d91,d92,d93,d94,d95,d96,d97,d98,d99,d00,d01,d02,d03,d04,vehicmilespc
217,1996,11,0,0.5,0.5,0,0,1,21,1,0,1,0,1,1573,680,316,1.75999999,0.760999978,0.354000002,7501069,20.96999931,9.069999695,4.210000038,89.375,4.599999905,14.39999962,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11914.96777
218,1997,11,0,0,1,0,0,1,21,1,0.5,1,0,1,1577,647,338,1.679999948,0.68900001,0.360000014,7685099,20.52000046,8.420000076,4.400000095,93.86904907,4.5,14.30000114,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12214.42285
219,1998,11,0,0,1,0,0,1,21,1,1,1,0,1,1568,636,309,1.620000005,0.657000005,0.319000006,7863536,19.93999863,8.090000153,3.930000067,96.79011536,4.199999809,14.30000114,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12308.72656
220,1999,11,0,0,1,0,0,1,21,1,1,1,0,1,1508,616,307,1.529999971,0.625,0.31099999,8045965,18.73999977,7.659999847,3.819999933,98.56209564,4,14.30000114,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12249.87891
221,2000,11,0,0,1,0,0,1,21,1,1,1,0,1,1541,696,351,1.470000029,0.663999975,0.335000008,8186453,18.81999969,8.5,4.289999962,104.8299332,3.700000048,14.39999962,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12805.29297
222,2001,11,0,0,1,0,0,1,21,1,1,0.5,0.5,1,1647,675,300,1.529999971,0.626999974,0.279000014,8405677,19.59000015,8.029999733,3.569999933,107.6470642,4,14.59999943,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12806.47168
223,2002,11,0,0,1,0,0,1,21,1,1,0,1,1,1524,637,324,1.411000013,0.589999974,0.300000012,8544005,17.82999992,7.449999809,3.789999962,108.014183,5.099999905,14.59999943,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12642.10156
224,2003,11,0,0,1,0,0,1,21,1,1,0,1,1,1603,647,302,1.470000029,0.592999995,0.27700001,8684715,18.45999908,7.449999809,3.480000019,109.0476151,4.699999809,14.69999981,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12556.26855
225,2004,11,0,0,1,0,0,1,21,1,1,0,1,1,1634,669,332,1.450000048,0.593999982,0.294999987,8829000,18.51000023,7.579999924,3.759999752,112.6896591,4.800000191,14.80000019,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12763.58105
226,1980,13,1,0,0,0,0,0,18,0,0,0,0,0,331,150,86,4.800000191,2.174999952,1.246999979,943935,35.06999969,15.88999939,9.11000061,6.895830154,7.900000095,18.29999924,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7305.408203
227,1981,13,1,0,0,0,0,0,18,0,0,0,0,0,293,141,75,4.199999809,2.020999908,1.075000048,962203,34.54000092,14.65000057,7.789999962,6.977000237,7.599999905,17.80000114,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7251.068848
228,1982,13,1,0,0,0,0,0,18,0,0,0,0,0,256,123,66,3.25999999,1.565999985,0.839999974,973727,26.28999901,12.63000011,6.779999733,7.852759838,9.800000191,17.20000076,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8064.64209
229,1983,13,1,0,0,0,0,0,18,0,0,0,0,0,263,113,58,3.170000076,1.361999989,0.699000001,981858,26.78999901,11.51000023,5.910000324,8.296530724,9.800000191,16.69999886,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8449.828125
230,1984,13,1,0,0,0,0,0,18,0,0,0.833000004,0,0,242,114,56,3.119999886,1.470000029,0.722000003,990837,24.41999817,11.51000023,5.650000095,7.756410122,7.199999809,16.30000114,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7828.13916
231,1985,13,1,0,0,0,0,0,18,0,0,1,0,0,255,129,80,3.309999943,1.674000025,1.037999988,994044,25.65000153,12.97999954,8.050000191,7.703930378,7.900000095,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7750.089844
232,1986,13,1,0,0,0,0,2,18,0,0,1,0,0,258,122,60,3.319999933,1.570000052,0.772000015,990224,26.04999924,12.31999969,6.059999943,7.771080017,8.699999809,15.60000038,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7847.799805
233,1987,13,0.333000004,0.666999996,0,0,0,2,20,0,0,1,0,0,260,120,58,3.200000048,1.476999998,0.713999987,985004,26.40000153,12.18000031,5.889999866,8.125,8,15.19999981,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8248.697266
234,1988,13,0,1,0,0,0,2,21,0,0,1,0,0,257,100,41,3.160000086,1.230000019,0.504000008,985668,26.0700016,10.14999962,4.159999847,8.132909775,5.800000191,14.80000019,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8251.165039
235,1989,13,0,1,0,0,0,2,21,0,0,1,0,0,238,112,54,2.829999924,1.332000017,0.64200002,994425,23.9299984,11.26000023,5.429999828,8.409889221,5.099999905,14.59999943,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8457.037109
236,1990,13,0,1,0,0,0,2,21,0,0,1,0,0,244,103,55,2.480000019,1.047000051,0.559000015,1011882,24.11000061,10.18000031,5.440000534,9.838709831,5.900000095,14.59999943,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9723.178711
237,1991,13,0,1,0,0,0,2,21,0,0,1,0,0,264,112,63,2.559999943,1.085999966,0.611000001,1041316,25.35000038,10.76000023,6.050000191,10.3125,6.199999809,14.90000057,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9903.333984
238,1992,13,0,1,0,0,0,2,21,0,0,1,0,0,243,90,54,2.25999999,0.837000012,0.501999974,1071685,22.67000008,8.399999619,5.039999962,10.75220966,6.5,15.19999981,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10032.99414
239,1993,13,0,1,0,0,0,2,21,0,0,1,0,0,230,100,48,2.039999962,0.887000024,0.425999999,1108768,20.73999786,9.020000458,4.329999924,11.27450943,6.199999809,15.60000038,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10168.50195
240,1994,13,0,1,0,0,0,2,21,0.5,0,1,0,0.5,250,103,41,2.150000095,0.885999978,0.352999985,1145140,21.83000183,8.989999771,3.580000162,11.62791061,5.599999905,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10154.13867
241,1995,13,0,1,0,0,0,2,21,1,0,1,0,1,262,100,41,2.130000114,0.813000023,0.333000004,1177322,22.25,8.489999771,3.480000019,12.3004694,5.400000095,16.30000114,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10447.83789
242,1996,13,0,0.333000004,0,0.666999996,0,2,21,1,0,1,0,1,258,97,62,1.99000001,0.748000026,0.477999985,1203083,21.44000053,8.059999466,5.149999619,12.96481991,5.199999809,16.39999962,0.666999996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10776.33105
243,1997,13,0,0,0,1,0,2,21,1,0,0.5,0.5,1,259,115,59,2.00999999,0.89200002,0.458000004,1228520,21.07999992,9.359999657,4.799999714,12.88557053,5.300000191,16.59999847,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10488.69434
244,1998,13,0,0,0,1,0,2,21,1,0,0,1,1,265,108,52,1.970000029,0.802999973,0.386999995,1252330,21.15999985,8.619999886,4.150000095,13.45178032,5,16.69999886,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10741.40234
245,1999,13,0,0,0,1,0,2,21,1,0,0,1,1,278,113,52,1.99000001,0.809000015,0.372000009,1275674,21.78999901,8.859999657,4.079999924,13.96984959,5.199999809,16.69999886,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10950.95605
246,2000,13,0,0,0,1,0,2,21,1,0,0,1,1,276,111,58,2.039999962,0.819999993,0.42899999,1293953,21.32999802,8.579999924,4.480000019,13.52941036,4.900000095,16.20000076,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10455.875
247,2001,13,0,0,0,1,0,2,21,1,1,0,1,1,259,92,43,1.840000033,0.653999984,0.305000007,1320585,19.61000061,6.970000267,3.25999999,14.07608986,5,15.70000076,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10658.98047
248,2002,13,0,0,0,1,0,2,21,1,1,0,1,1,264,103,47,1.860000014,0.726000011,0.331,1343124,19.65999985,7.670000076,3.5,14.19355011,5.800000191,15.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10567.56543
249,2003,13,0,0,0,1,0,2,21,1,1,0,1,1,293,124,46,2.049999952,0.867999971,0.321999997,1366332,21.44000053,9.079999924,3.370000124,14.29267979,5.400000095,15.19999981,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10460.62012
250,2004,13,0,0,0,1,0,2,21,1,1,0,1,1,260,112,48,1.769999981,0.762000024,0.326999992,1393000,18.65999985,8.039999962,3.450000048,14.68926907,4.400000095,15.00000095,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10545.05957
251,1980,14,1,0,0,0,0,0,21,0,0,1,0,0,1975,1066,594,3,1.618999958,0.90200001,11426518,17.28000069,9.329999924,5.199999809,65.83332825,8.300000191,18.70000076,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5761.45166
252,1981,14,1,0,0,0,0,0,21,0,0,1,0,0,1821,1024,574,2.766000032,1.554999948,0.871999979,11443439,16.69000053,8.949999809,5.019999504,65.83599854,8.5,18.29999924,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5753.165527
253,1982,14,1,0,0,0,0,0,21,0,0,1,0,0,1651,962,511,2.50999999,1.463000059,0.77700001,11423409,14.45000076,8.420000076,4.46999979,65.77689362,11.30000019,17.89999962,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5758.079102
254,1983,14,1,0,0,0,0,0,21,0,0,1,0,0,1526,820,434,2.269999981,1.220000029,0.646000028,11408842,13.38000107,7.18999958,3.799999952,67.22467041,11.39999962,17.39999962,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5892.330566
255,1984,14,1,0,0,0,0,0,21,0,0,1,0,0,1547,818,441,2.210000038,1.16900003,0.629999995,11412154,13.55999947,7.170000076,3.860000134,70,9.100000381,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6133.811523
256,1985,14,1,0,0,0,0,2,21,0,0,1,0,0,1534,773,384,2.170000076,1.093000054,0.542999983,11399830,13.45999908,6.779999733,3.370000124,70.6912384,9,16.69999886,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6201.078125
257,1986,14,1,0,0,0,0,2,21,0,0,1,0,1,1596,822,429,2.150000095,1.106999993,0.578000009,11387265,14.0199995,7.220000267,3.769999981,74.2325592,8.100000381,16.39999962,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6518.910156
258,1987,14,0.333000004,0.666999996,0,0,0,2,21,0,0,1,0,1,1654,844,432,2.180000067,1.111999989,0.569000006,11391183,14.52000046,7.409999847,3.789999962,75.87155914,7.400000095,16,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6660.55127
259,1988,14,0,1,0,0,0,2,21,0,0,1,0,1,1837,894,469,2.339999914,1.139000058,0.597000003,11390199,16.13000107,7.850000381,4.119999886,78.50427246,6.800000191,15.5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6892.265625
260,1989,14,0,1,0,0,0,2,21,0,0,1,0,1,1748,910,483,2.150000095,1.118999958,0.593999982,11409775,15.31999969,7.979999542,4.230000019,81.30233002,6,15.00000095,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7125.67334
261,1990,14,0,1,0,0,0,2,21,0,0,1,0,1,1589,756,412,1.909999967,0.908999979,0.495000005,11446979,13.88000011,6.600000381,3.600000143,83.19371796,6.199999809,14.69999981,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7267.744629
262,1991,14,0,1,0,0,0,2,21,0,0,1,0,1,1448,715,345,1.690000057,0.833999991,0.402999997,11568964,12.5199995,6.179999828,2.980000019,85.6804657,7.199999809,14.30000114,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7406.062012
263,1992,14,0,1,0,0,0,2,21,0,0,1,0,1,1384,640,329,1.580000043,0.731000006,0.375999987,11694184,11.82999992,5.46999979,2.809999943,87.59494019,7.599999905,14.10000038,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7490.470703
264,1993,14,0,1,0,0,0,2,21,0,0,1,0,1,1392,660,353,1.549999952,0.735000014,0.393000007,11809579,11.78999996,5.590000153,2.99000001,89.80644989,7.5,13.89999962,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7604.542969
265,1994,14,0,1,0,0,0,2,21,0,0,1,0,1,1554,776,388,1.679999948,0.838999987,0.419,11912585,13.04999924,6.510000229,3.25999999,92.5,5.699999809,13.79999924,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7764.897461
266,1995,14,0,1,0,0,0,2,21,1,0,1,0,1,1586,782,405,1.679999948,0.828000009,0.42899999,12008437,13.21000004,6.510000229,3.370000124,94.40475464,5.199999809,13.69999981,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7861.535645
267,1996,14,0,1,0,0,0,2,21,1,0,1,0,1,1477,751,363,1.529999971,0.777999997,0.375999987,12101997,12.20000076,6.210000038,3,96.53594971,5.300000191,13.60000038,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7976.861328
268,1997,14,0,1,0,0,0,2,21,1,0,0.5,0.5,1,1397,710,353,1.409999967,0.717000008,0.356000006,12185715,11.46000004,5.829999924,2.899999857,99.07801056,4.699999809,13.60000038,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8130.668945
269,1998,14,0,1,0,0,0,2,21,1,1,0,1,1,1393,690,365,1.379999995,0.684000015,0.361999989,12271847,11.35000038,5.619999886,2.96999979,100.9420319,4.5,13.69999981,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8225.496094
270,1999,14,0,1,0,0,0,2,21,1,1,0,1,1,1456,732,350,1.419999957,0.713999987,0.340999991,12359020,11.77999973,5.920000076,2.829999924,102.5352097,4.300000191,13.69999981,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8296.386719
271,2000,14,0,1,0,0,0,2,21,1,1,0,1,1,1418,663,351,1.379999995,0.644999981,0.342000008,12419293,11.42000008,5.339999676,2.829999924,102.7536163,4.300000191,13.79999924,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8273.708984
272,2001,14,0,1,0,0,0,2,21,1,1,0,1,1,1414,675,341,1.370000005,0.653999984,0.330000013,12520227,11.28999901,5.389999866,2.720000267,103.2116776,5.400000095,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8243.594727
273,2002,14,0,1,0,0,0,2,21,1,1,0,1,1,1420,722,373,1.348999977,0.68599999,0.354000002,12586447,11.21000099,5.699999809,2.940000057,105.2985077,6.5,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8366.023438
274,2003,14,0,1,0,0,0,1,21,1,1,0,1,1,1454,690,358,1.360999942,0.646000028,0.335000008,12653544,11.47999954,5.450000286,2.829999924,106.8382416,6.699999809,14.10000038,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8443.344727
275,2004,14,0,1,0,0,0,1,21,1,1,0,1,1,1356,689,341,1.24000001,0.629999995,0.312000006,12714000,10.67000008,5.420000076,2.680000067,109.3548431,6,14.10000038,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8601.135742
276,1980,15,1,0,0,0,0,0,21,0,0,0,0,0,1166,601,319,3,1.546000004,0.82099998,5490224,21.24000168,10.95000076,5.809999466,38.86667252,9.600000381,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7079.250977
277,1981,15,1,0,0,0,0,0,21,0,0,0,0,0,1146,637,337,2.947000027,1.638000011,0.866999984,5480410,21.32999802,11.61999893,6.150000095,38.88199997,10.10000038,18.70000076,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7094.725098
278,1982,15,1,0,0,0,0,0,21,0,0,0,0,0,961,528,286,2.450000048,1.345999956,0.728999972,5467909,17.57999992,9.659999847,5.230000019,39.2244873,11.89999962,18.29999924,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7173.580566
279,1983,15,1,0,0,0,0,0,21,0,0,0.333000004,0,0.333000004,1016,503,254,2.549999952,1.261999965,0.638000011,5450403,18.63999939,9.229999542,4.659999847,39.84313965,11.10000038,17.80000114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7310.127441
280,1984,15,1,0,0,0,0,0,21,0,0,1,0,1,925,457,261,2.25,1.111999989,0.63499999,5458332,16.95000076,8.369999886,4.779999733,41.11111069,8.600000381,17.39999962,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7531.808594
281,1985,15,1,0,0,0,0,0,21,0,0,1,0,1,974,454,225,2.390000105,1.113999963,0.551999986,5459225,17.84000015,8.319999695,4.119999886,40.7531395,7.900000095,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7465.004883
282,1986,15,1,0,0,0,0,0,21,0,0,1,0,1,1038,505,251,2.549999952,1.241000056,0.616999984,5454126,19.03000069,9.260000229,4.599999905,40.70587921,6.699999809,16.69999886,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7463.318359
283,1987,15,0.416999996,0.583000004,0,0,0,2,21,0,0,1,0,1,1055,465,248,2.420000076,1.067000031,0.569000006,5473014,19.27999878,8.5,4.53000021,43.59503937,6.400000095,16.30000114,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7965.453613
284,1988,15,0,1,0,0,0,2,21,0,0,1,0,1,1099,474,260,2.150000095,0.926999986,0.509000003,5491754,20.00999832,8.630000114,4.730000019,51.1162796,5.300000191,15.89999962,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9307.824219
285,1989,15,0,1,0,0,0,2,21,0,0,1,0,1,971,398,221,1.730000019,0.708999991,0.393999994,5523685,17.57999992,7.210000038,4,56.12717056,4.699999809,15.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10161.18262
286,1990,15,0,1,0,0,0,2,21,0,0,1,0,1,1049,471,248,1.950000048,0.875999987,0.460999995,5555097,18.88000107,8.479999542,4.460000038,53.79487228,5.300000191,15.29999924,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9683.876953
287,1991,15,0,1,0,0,0,2,21,0,0,1,0,1,1022,472,239,1.879999995,0.867999971,0.439999998,5616388,18.20000076,8.399999619,4.260000229,54.36169815,6,15.09999943,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9679.121094
288,1992,15,0,1,0,0,0,2,21,0,0,1,0,1,901,408,208,1.580000043,0.714999974,0.36500001,5674547,15.88000107,7.18999958,3.670000076,57.02532196,6.599999905,15.00000095,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10049.31738
289,1993,15,0,1,0,0,0,2,21,0,0,1,0,1,901,332,188,1.49000001,0.549000025,0.31099999,5739019,15.70000076,5.78000021,3.28000021,60.46979904,5.400000095,14.80000019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10536.60938
290,1994,15,0,1,0,0,0,2,21,0,0,1,0,1,971,417,212,1.590000033,0.683000028,0.347000003,5793526,16.76000023,7.200000286,3.659999847,61.06917953,4.900000095,14.69999981,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10540.93457
291,1995,15,0,1,0,0,0,2,21,0,0,1,0,1,960,397,193,1.49000001,0.615999997,0.300000012,5851459,16.40999985,6.779999733,3.300000191,64.42953491,4.699999809,14.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11010.84961
292,1996,15,0,1,0,0,0,2,21,0,0,1,0,1,984,412,208,1.49000001,0.624000013,0.314999998,5906013,16.65999985,6.980000019,3.519999981,66.04027557,4.099999905,14.30000114,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11181.87109
293,1997,15,0,1,0,0,0,2,21,1,0,1,0,1,935,416,204,1.360000014,0.605000019,0.296999991,5955267,15.70000076,6.989999771,3.429999828,68.75,3.5,14.20000076,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11544.40234
294,1998,15,0,1,0,0,0,1,21,1,0,1,0,1,982,449,200,1.419999957,0.648999989,0.289000005,5998880,16.36999893,7.480000496,3.329999924,69.15493011,3.099999905,14.20000076,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11527.97363
295,1999,15,0,1,0,0,0,1,21,1,1,1,0,1,1020,414,203,1.460000038,0.592999995,0.291000009,6044969,16.87000084,6.849999905,3.359999895,69.86300659,3,14.20000076,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11557.21484
296,2000,15,0,1,0,0,0,1,21,1,1,1,0,1,886,367,167,1.25,0.518000007,0.236000001,6080485,14.56999969,6.039999962,2.75,70.87999725,3.200000048,14.20000076,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11656.96484
297,2001,15,0,1,0,0,0,1,21,1,1,0.5,0.5,1,909,338,189,1.269999981,0.472000003,0.263999999,6126743,14.84000015,5.519999981,3.079999924,71.57479858,4.400000095,14.30000114,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11682.35645
298,2002,15,0,1,0,0,0,1,21,1,1,0,1,1,792,338,154,1.090000033,0.465000004,0.211999997,6156913,12.86000061,5.490000248,2.5,72.66054535,5.099999905,14.20000076,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11801.45703
299,2003,15,0,1,0,0,0,1,21,1,1,0,1,1,833,336,187,1.149000049,0.463,0.257999986,6195643,13.45999908,5.429999828,3.019999981,72.52174377,5.099999905,14.20000076,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11705.28125
300,2004,15,0,1,0,0,0,1,21,1,1,0,1,1,947,419,199,1.299999952,0.574999988,0.273000002,6238000,15.18000031,6.71999979,3.190000057,72.84614563,5.199999809,14.20000076,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11677.80469
301,1980,16,1,0,0,0,0,0,19,0,0,1,0,0,626,331,208,3.299999952,1.745000005,1.095999956,2913808,21.47999954,11.36000061,7.139999866,18.96969986,5.800000191,18.79999924,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6510.27832
302,1981,16,1,0,0,0,0,0,19,0,0,1,0,0,613,342,202,3.207000017,1.789000034,1.057000041,2907969,21.15999985,11.76000023,6.949999809,19.11300087,6.900000095,18.39999962,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6572.628906
303,1982,16,1,0,0,0,0,0,19,0,0,1,0,0.5,480,239,140,2.480000019,1.235000014,0.72299999,2888183,16.61999893,8.279999733,4.850000381,19.35483932,8.5,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6701.38916
